Particle,x,y,z,Vx,Vy,Vz
51813,0.009633,-0.001639,-0.071275,0.0,0.0,0.0
51169,-0.0038380000000000003,-0.005261,-0.069187,0.0,0.0,0.0
50276,-0.006717,0.000758,-0.06558499999999999,0.0,0.0,0.0
50903,0.013108999999999999,-0.00452,-0.067184,0.0,0.0,0.0
48051,-0.008317,-0.006306,-0.07116700000000001,0.0,0.0,0.0
51829,0.012064,0.010815,-0.075417,0.0,0.0,0.0
50500,0.00475,-0.006467,-0.07240600000000001,0.0,0.0,0.0
50808,-0.007746,-0.009720000000000001,-0.06746899999999999,0.0,0.0,0.0
50187,0.001496,-0.0061589999999999995,-0.075124,0.0,0.0,0.0
36191,-0.002186,0.012867000000000002,-0.06295300000000001,0.0,0.0,0.0
51566,0.012528000000000001,0.011882,-0.067223,0.0,0.0,0.0
42799,-0.002075,0.011143,-0.064789,0.0,0.0,0.0
42876,0.001603,0.002306,-0.076031,0.0,0.0,0.0
51496,0.008279,0.012164,-0.06741,0.0,0.0,0.0
51549,0.001472,0.0036349999999999998,-0.075929,0.0,0.0,0.0
51852,-0.008708,-0.001363,-0.074524,0.0,0.0,0.0
50158,0.015537,0.0031230000000000003,-0.069461,0.0,0.0,0.0
48452,0.013571999999999999,-0.00039,-0.074697,0.0,0.0,0.0
51931,-0.003218,-0.011167,-0.066541,0.0,0.0,0.0
51494,-0.006014,0.0028650000000000004,-0.06876,0.0,0.0,0.0
47406,0.003162,-0.0076749999999999995,-0.064717,0.0,0.0,0.0
49870,0.010805,-0.000839,-0.063257,0.0,0.0,0.0
51533,0.0103,0.00895,-0.07565999999999999,0.0,0.0,0.0
51972,0.014271,-0.008563000000000001,-0.064305,0.0,0.0,0.0
51997,0.014387,0.012118,-0.07477800000000001,0.0,0.0,0.0
51945,-0.010241,-0.01056,-0.060888,0.0,0.0,0.0
47757,-0.013460000000000001,-0.004808,-0.074651,0.0,0.0,0.0
51577,-0.004094,0.006333,-0.059763,0.0,0.0,0.0
51268,0.002022,-0.003561,-0.065111,0.0,0.0,0.0
50232,0.0024519999999999998,-0.00623,-0.07127599999999999,0.0,0.0,0.0
51538,0.010211,0.008359,-0.06091,0.0,0.0,0.0
52001,-0.015437,0.002543,-0.07673,0.0,0.0,0.0
51231,-0.009315,-0.010209,-0.06508199999999999,0.0,0.0,0.0
51658,-0.005614,0.001303,-0.073842,0.0,0.0,0.0
51151,0.002191,0.008952,-0.069716,0.0,0.0,0.0
49094,0.012083,0.011559,-0.069492,0.0,0.0,0.0
52059,-0.002462,0.008775999999999999,-0.065949,0.0,0.0,0.0
52054,0.011607,-0.009186999999999999,-0.062801,0.0,0.0,0.0
50893,0.014022999999999999,-0.009317,-0.064734,0.0,0.0,0.0
51515,-0.014292,0.012361,-0.072107,0.0,0.0,0.0
51560,-0.001961,-0.011787,-0.075474,0.0,0.0,0.0
48214,-0.014516999999999999,-0.000638,-0.07437300000000001,0.0,0.0,0.0
49499,0.004937,-0.0016619999999999998,-0.069407,0.0,0.0,0.0
