Particle,x,y,z,Vx,Vy,Vz
25419,0.004958000000000001,0.011217000000000001,-0.07223600000000001,0.0,0.0,0.0
18856,-0.015564999999999999,0.007255,-0.074422,0.0,0.0,0.0
18491,-0.007553,0.012425,-0.071809,0.0,0.0,0.0
22641,0.00134,-0.009550000000000001,-0.067616,0.0,0.0,0.0
21052,0.003464,-0.00216,-0.068747,0.0,0.0,0.0
24056,-0.005721,-0.009169,-0.071824,0.0,0.0,0.0
23848,0.005641,-0.004157,-0.064708,0.0,0.0,0.0
25427,0.000769,-0.00366,-0.075911,0.0,0.0,0.0
25233,-0.009554,0.010542,-0.076581,0.0,0.0,0.0
20865,0.0019790000000000003,0.00047099999999999996,-0.06880700000000001,0.0,0.0,0.0
22675,0.010975,-0.008666,-0.06888599999999999,0.0,0.0,0.0
21353,0.0040999999999999995,0.004292,-0.068025,0.0,0.0,0.0
24250,0.002075,0.011589,-0.073462,0.0,0.0,0.0
25450,0.014975,-0.010013999999999999,-0.074542,0.0,0.0,0.0
24182,0.012685,-0.005698000000000001,-0.068182,0.0,0.0,0.0
22965,-0.001786,0.011571,-0.069331,0.0,0.0,0.0
24360,-0.015851,-0.010576,-0.075742,0.0,0.0,0.0
22968,-0.013961,0.004868,-0.07138599999999999,0.0,0.0,0.0
25013,-0.009136,-0.005535999999999999,-0.061073,0.0,0.0,0.0
21376,-0.011415,0.001294,-0.07265600000000001,0.0,0.0,0.0
25538,0.007931,0.01065,-0.062236,0.0,0.0,0.0
19080,-0.008844,0.002797,-0.07376600000000001,0.0,0.0,0.0
25020,0.017018000000000002,-0.004875,-0.072206,0.0,0.0,0.0
25426,-0.0061600000000000005,-0.0069050000000000005,-0.07539,0.0,0.0,0.0
25532,-0.01287,0.01213,-0.073057,0.0,0.0,0.0
25520,0.008811999999999999,-0.011439,-0.064152,0.0,0.0,0.0
24966,0.012093,0.0019039999999999999,-0.06069,0.0,0.0,0.0
24175,-0.005196,-0.001304,-0.075292,0.0,0.0,0.0
25345,0.0035529999999999997,-0.011544,-0.07359099999999999,0.0,0.0,0.0
25686,-0.00942,0.008095000000000001,-0.064366,0.0,0.0,0.0
23349,0.012164999999999999,0.002045,-0.064346,0.0,0.0,0.0
24281,0.010263,0.011414,-0.063864,0.0,0.0,0.0
24509,0.018194,0.004666,-0.06898900000000001,0.0,0.0,0.0
25626,-0.01399,0.007658000000000001,-0.075485,0.0,0.0,0.0
23855,-0.011979,0.012291,-0.06619199999999999,0.0,0.0,0.0
24173,0.015684,0.005558,-0.072032,0.0,0.0,0.0
24957,0.014836,-0.004916,-0.065672,0.0,0.0,0.0
25375,-0.010913,-0.009278999999999999,-0.06852599999999999,0.0,0.0,0.0
23110,0.015404,-0.0051719999999999995,-0.072462,0.0,0.0,0.0
25210,0.003913,-0.011460000000000001,-0.072506,0.0,0.0,0.0
22492,0.005978,-0.010294000000000001,-0.065346,0.0,0.0,0.0
25583,-0.013621000000000001,0.0033380000000000003,-0.07429000000000001,0.0,0.0,0.0
24507,-0.004727,-0.009721,-0.068923,0.0,0.0,0.0
22919,-0.0019119999999999999,0.000103,-0.070607,0.0,0.0,0.0
23271,0.003959,-0.004445,-0.069952,0.0,0.0,0.0
25101,0.002283,0.005611,-0.070368,0.0,0.0,0.0
22624,-0.008215,0.013375,-0.06778,0.0,0.0,0.0
24187,0.014111,-0.00417,-0.072802,0.0,0.0,0.0
25391,-0.005621,-0.008567,-0.070089,0.0,0.0,0.0
25451,-0.009381,0.00846,-0.06449200000000001,0.0,0.0,0.0
24546,0.000731,-0.001742,-0.070146,0.0,0.0,0.0
25527,-0.007686,0.011589,-0.07570199999999999,0.0,0.0,0.0
25121,0.009587,-0.008423,-0.063848,0.0,0.0,0.0
21394,-0.015924,-0.002951,-0.07270900000000001,0.0,0.0,0.0
25069,-0.005516,0.011323,-0.070488,0.0,0.0,0.0
25248,0.005947,-0.005267,-0.075367,0.0,0.0,0.0
25648,0.005287,0.0031739999999999997,-0.067218,0.0,0.0,0.0
25265,0.007461000000000001,0.007039,-0.067341,0.0,0.0,0.0
25685,-0.000277,0.012412000000000001,-0.06611,0.0,0.0,0.0
25690,-0.001917,0.011578,-0.078471,0.0,0.0,0.0
23205,-0.009574,0.0037040000000000003,-0.069867,0.0,0.0,0.0
23977,0.012087,-0.013542,-0.071336,0.0,0.0,0.0
24513,0.005432,0.000739,-0.064633,0.0,0.0,0.0
20957,0.011514,-0.0063739999999999995,-0.07090099999999999,0.0,0.0,0.0
16494,-0.0049180000000000005,0.002641,-0.062268000000000004,0.0,0.0,0.0
24512,0.009106,-0.0018369999999999999,-0.077619,0.0,0.0,0.0
24724,-0.001288,0.009438,-0.068577,0.0,0.0,0.0
25317,0.009257999999999999,0.004987,-0.05782,0.0,0.0,0.0
22676,-0.006771,-0.008693,-0.070285,2.2000000000000318e-05,0.0002659999999999989,0.00010899999999999799
9724,0.005876999999999999,0.008312,-0.07073900000000001,-3.999999999998796e-06,0.0001399999999999995,-0.00013399999999999523
22303,0.002812,0.005736,-0.06514700000000001,0.00012600000000000024,0.00031099999999999964,-0.00011699999999999211
23828,-0.007495,-0.003783,-0.077759,-1.1000000000000593e-05,0.00011499999999999965,-8.700000000000374e-05
25508,-0.008256,0.003025,-0.068298,0.00015899999999999942,0.00014899999999999983,0.00015399999999998748
13766,-0.011321,-0.000107,-0.06594,7.999999999999327e-06,0.000424,3.9999999999901226e-06
25806,-0.012207,-0.009212,-0.070243,0.0001520000000000011,0.00035299999999999915,-0.0002349999999999991
25736,0.007567999999999999,0.009266,-0.06413500000000001,0.0001360000000000007,0.00016900000000000075,0.00010500000000000786
24498,-0.0066619999999999995,-0.008384,-0.074712,7.299999999999928e-05,9.900000000000013e-05,-1.0999999999997123e-05
24832,0.000776,-0.012404,-0.067329,0.00023400000000000005,0.00014000000000000123,-0.0002920000000000006
16325,-0.0020459999999999996,-0.00488,-0.068293,8.399999999999987e-05,0.00018099999999999974,-8.099999999998386e-05
24594,-0.014254,0.010013999999999999,-0.067714,8.3999999999999e-05,9.500000000000133e-05,1.5000000000001124e-05
25473,-0.004806,0.001168,-0.074882,0.0001330000000000003,7.799999999999994e-05,-4.500000000000337e-05
25133,-0.009246,0.002352,-0.059963,-0.00015199999999999936,0.00016800000000000018,0.00017000000000000348
25176,-0.004261,-0.002348,-0.061772,0.00023200000000000044,0.0002149999999999999,0.0001260000000000011
25745,-0.012213,-0.01019,-0.076281,0.00022900000000000004,0.00011899999999999931,0.00014100000000000223
25477,-0.003215,0.0041459999999999995,-0.06424500000000001,0.000147,0.00033199999999999983,4.500000000000337e-05
21703,-0.0043419999999999995,-0.001074,-0.071769,6.399999999999982e-05,0.00032700000000000003,6.999999999993123e-06
16492,-0.004933,0.00252,-0.063711,4.49999999999999e-05,0.00015200000000000023,0.00015700000000000436
25522,0.005072,0.004259000000000001,-0.063751,0.00021199999999999952,0.00020999999999999925,2.5999999999998247e-05
24615,0.013090999999999998,-0.01033,-0.065166,0.00024000000000000063,9.999999999992654e-07,0.00022600000000000398
24824,-0.012061,0.010825,-0.06543399999999999,5.400000000000023e-05,7.699999999999894e-05,-9.100000000000774e-05
25462,0.016434999999999998,0.010785,-0.06724200000000001,0.0001810000000000006,7.000000000000062e-06,-2.9999999999891225e-06
18178,0.0038380000000000003,0.010038,-0.072789,-0.00010600000000000019,9.49999999999996e-05,-0.00014000000000000123
24621,-0.011089,0.010187,-0.06955599999999999,8.200000000000048e-05,9.299999999999933e-05,3.0000000000002247e-05
24586,0.0045839999999999995,-0.00054,-0.06258899999999999,0.00016000000000000042,0.00012000000000000004,-0.00011700000000000599
25571,-0.001202,-0.011764,-0.066437,0.0001919999999999999,0.0001559999999999999,-2.2999999999995246e-05
24188,-0.012909,0.002383,-0.077377,7.599999999999968e-05,0.00012199999999999971,-0.00010600000000000886
25608,-0.000475,-0.012236,-0.073254,0.00015999999999999999,0.00021200000000000038,-0.0001260000000000011
