Particle,x,y,z,Vx,Vy,Vz
34491,-0.005377,0.012821999999999998,-0.06946200000000001,0.0,0.0,0.0
30871,0.000705,0.012435,-0.071257,0.0,0.0,0.0
32682,-0.0006360000000000001,0.008385,-0.06418800000000001,0.0,0.0,0.0
34289,-0.009122,-0.001965,-0.06503700000000001,0.0,0.0,0.0
34806,0.006533000000000001,-0.004999,-0.065762,0.0,0.0,0.0
29141,-0.005126,0.005207,-0.062969,0.0,0.0,0.0
34665,-0.007059,-0.003137,-0.064817,0.0,0.0,0.0
33917,0.002493,0.008353999999999999,-0.060751,0.0,0.0,0.0
26029,0.007481,0.01293,-0.06572199999999999,0.0,0.0,0.0
33725,0.007940000000000001,-0.011457,-0.066638,0.0,0.0,0.0
31284,-0.013334,0.005666,-0.067917,0.0,0.0,0.0
35186,0.007322,0.006133,-0.059045,0.0,0.0,0.0
31398,0.008468,-0.004554,-0.068163,0.0,0.0,0.0
31731,0.012959,0.006582,-0.07201300000000001,0.0,0.0,0.0
33988,-0.002113,-0.011367,-0.06901900000000001,0.0,0.0,0.0
34459,-0.012313000000000001,0.008645,-0.062994,0.0,0.0,0.0
35066,-0.002921,-0.005677,-0.077793,0.0,0.0,0.0
33150,0.007902,0.00895,-0.062329999999999997,0.0,0.0,0.0
31795,-0.011028,0.006123999999999999,-0.07406,0.0,0.0,0.0
33857,0.01426,-0.00265,-0.069146,0.0,0.0,0.0
34337,0.017016,-0.00731,-0.06940099999999999,0.0,0.0,0.0
34646,-0.008063,-0.004391,-0.069508,0.0,0.0,0.0
35215,-0.0049960000000000004,-0.002321,-0.063774,0.0,0.0,0.0
28547,-0.012121,0.007308,-0.06712699999999999,0.0,0.0,0.0
10157,0.0036469999999999996,0.003569,-0.073557,0.0,0.0,0.0
31059,-0.005561,-0.001663,-0.061287999999999995,0.0,0.0,0.0
35046,-0.0038889999999999997,-0.007683,-0.0631,0.0,0.0,0.0
33940,-0.001893,-0.011662,-0.06457500000000001,0.0,0.0,0.0
34440,0.002621,-0.00047599999999999997,-0.063353,0.0,0.0,0.0
34821,0.01156,-0.004008,-0.064165,0.0,0.0,0.0
32623,0.012448,0.004574,-0.069721,0.0,0.0,0.0
31685,-0.0132,0.003258,-0.07284099999999999,0.0,0.0,0.0
32822,0.013127000000000002,-0.007953,-0.065521,0.0,0.0,0.0
32689,-0.0023740000000000002,-0.006084,-0.063761,0.0,0.0,0.0
32970,-0.012727,0.004443,-0.073659,0.0,0.0,0.0
34395,-0.013609999999999999,-0.004383,-0.075862,0.0,0.0,0.0
28198,0.008909,0.001149,-0.064857,0.0,0.0,0.0
34161,0.002557,0.0014550000000000001,-0.07140300000000001,0.0,0.0,0.0
31977,0.007817000000000001,-0.008551999999999999,-0.074637,0.0,0.0,0.0
30301,0.009943,-0.003143,-0.07170699999999999,0.0,0.0,0.0
33751,-0.013260999999999998,0.005375,-0.064766,0.0,0.0,0.0
34773,0.015035,-0.000184,-0.066354,0.0,0.0,0.0
34539,0.004809,0.009717,-0.063598,0.0,0.0,0.0
31410,0.014839999999999999,0.001426,-0.075098,0.0,0.0,0.0
34775,0.011285,0.012536,-0.06459699999999999,0.0,0.0,0.0
34310,-0.011327,0.011988,-0.059421999999999996,0.0,0.0,0.0
34615,-0.009214,-0.0013109999999999999,-0.064431,0.0,0.0,0.0
34510,0.018274000000000002,0.010046,-0.071152,0.0,0.0,0.0
34534,-0.0042510000000000004,0.012138999999999999,-0.061359000000000004,0.0,0.0,0.0
35040,0.009765000000000001,0.009071999999999998,-0.06773,0.0,0.0,0.0
27238,0.010308,0.002399,-0.07375,0.0,0.0,0.0
34729,0.0031579999999999998,-0.004267,-0.063337,0.0,0.0,0.0
30751,-0.013548,0.011979,-0.074306,0.0,0.0,0.0
31796,0.009371,0.0014399999999999999,-0.073783,0.0,0.0,0.0
