Particle,x,y,z,Vx,Vy,Vz
25099,0.003572,-0.001245,-0.068775,0.0,0.0,0.0
34436,-0.01587,-0.0111,-0.07427500000000001,0.0,0.0,0.0
34592,-0.015193,0.009863,-0.077874,0.0,0.0,0.0
34861,-0.009441000000000001,0.0010689999999999999,-0.0595,0.0,0.0,0.0
34735,0.001153,-0.006808,-0.076264,0.0,0.0,0.0
33261,0.004298,0.012723,-0.06538200000000001,0.0,0.0,0.0
17124,0.0069759999999999996,0.013143,-0.066819,0.0,0.0,0.0
32938,-0.0036810000000000002,0.010985,-0.066096,0.0,0.0,0.0
31456,0.0025150000000000003,-0.004562999999999999,-0.067353,0.0,0.0,0.0
30090,-0.007881,-0.006743000000000001,-0.072524,0.0,0.0,0.0
34768,-0.005707,0.010768000000000002,-0.060916,0.0,0.0,0.0
28887,0.007425,-0.0037229999999999997,-0.070867,0.0,0.0,0.0
26735,0.017041,-0.000819,-0.067454,0.0,0.0,0.0
34444,-0.014482,-0.008398,-0.074818,0.0,0.0,0.0
34549,2.2e-05,-0.003755,-0.06796200000000001,0.0,0.0,0.0
21656,-0.0021720000000000003,0.012672000000000001,-0.06551699999999999,0.0,0.0,0.0
34181,0.015099,0.000541,-0.06404699999999999,0.0,0.0,0.0
32377,-0.009422,-0.009439,-0.06457299999999999,0.0,0.0,0.0
34495,-0.007822,-0.0013939999999999998,-0.062006,0.0,0.0,0.0
34739,0.005902999999999999,0.0031349999999999998,-0.06277300000000001,0.0,0.0,0.0
32597,-0.014182,0.009846,-0.072589,0.0,0.0,0.0
29530,-0.01292,-0.005032,-0.069135,0.0,0.0,0.0
34611,0.014177,-0.010037,-0.062791,0.0,0.0,0.0
34901,0.004235,0.011367,-0.059059,0.0,0.0,0.0
33850,-0.003748,-0.0005380000000000001,-0.07155,0.0,0.0,0.0
34693,-0.01151,0.001655,-0.060502,0.0,0.0,0.0
33254,-0.00174,-0.00191,-0.063834,0.0,0.0,0.0
32979,0.009321999999999999,-0.007585,-0.073614,0.0,0.0,0.0
34774,-0.008320000000000001,-0.005637,-0.065187,0.0,0.0,0.0
34767,-0.012692,0.0035009999999999998,-0.07523300000000001,0.0,0.0,0.0
33980,0.016397,0.011656000000000001,-0.06835899999999999,0.0,0.0,0.0
34969,0.008707000000000001,0.005558,-0.062426999999999996,0.0,0.0,0.0
34609,-0.009557,0.005732,-0.073568,0.0,0.0,0.0
33565,-0.011455,-0.011855000000000001,-0.06687,0.0,0.0,0.0
32419,-0.009401999999999999,0.006525,-0.075472,0.0,0.0,0.0
24258,-0.010098000000000001,-0.009264,-0.066991,0.0,0.0,0.0
33894,-0.004215,-0.005432,-0.07469799999999999,0.0,0.0,0.0
34813,-0.000859,-0.001546,-0.063246,0.0,0.0,0.0
33099,0.015621000000000001,-0.009958999999999999,-0.069453,0.0,0.0,0.0
27239,0.01261,0.003282,-0.07072400000000001,0.0,0.0,0.0
32730,0.008032,0.0014650000000000002,-0.074582,0.0,0.0,0.0
34358,-0.0059889999999999995,0.005221,-0.062579,0.0,0.0,0.0
33594,-0.012894000000000001,0.006812,-0.0719,0.0,0.0,0.0
34226,0.000803,0.00392,-0.07127800000000001,0.0,0.0,0.0
32387,-0.0064329999999999995,0.010317999999999999,-0.06662900000000001,0.0,0.0,0.0
32478,0.00398,0.003489,-0.06253,0.0,0.0,0.0
22817,0.006573000000000001,0.009855000000000001,-0.070378,0.0,0.0,0.0
32792,-0.010203,-0.011835,-0.06634699999999999,0.0,0.0,0.0
34867,0.014236,-0.005051,-0.063191,0.0,0.0,0.0
30857,0.002673,-0.004695,-0.071925,0.0,0.0,0.0
34727,-0.010661,0.00015,-0.076898,0.0,0.0,0.0
34989,-0.015407,-0.011278,-0.071925,0.0,0.0,0.0
33928,-0.004597,-0.011351000000000002,-0.063597,0.0,0.0,0.0
31984,-0.012333,-0.000262,-0.07577500000000001,0.0,0.0,0.0
32032,-0.014305,0.00087,-0.077371,0.0,0.0,0.0
34518,0.008228,-0.00887,-0.062453,0.0,0.0,0.0
33953,-0.006308,-0.007469,-0.06345,0.0,0.0,0.0
33687,0.011461,0.008156,-0.076168,0.0,0.0,0.0
31999,-0.0008259999999999999,-0.005148,-0.068772,0.0,0.0,0.0
34656,0.000416,-0.006551,-0.076127,0.0,0.0,0.0
32965,-0.001934,0.003211,-0.06869,0.0,0.0,0.0
34407,0.002003,0.010898,-0.072551,0.0,0.0,0.0
34491,-0.005368,0.01268,-0.06950100000000001,-8.99999999999946e-06,0.00014199999999999803,3.899999999999737e-05
30871,0.000812,0.012191,-0.071238,-0.000107,0.00024399999999999943,-1.9000000000005124e-05
32682,-0.000638,0.008052,-0.064431,1.99999999999994e-06,0.00033299999999999996,0.00024299999999999322
34289,-0.009329,-0.002218,-0.064624,0.00020700000000000059,0.00025299999999999975,-0.0004130000000000106
34806,0.006381,-0.005223,-0.065583,0.00015200000000000023,0.00022400000000000024,-0.0001789999999999986
29141,-0.005036,0.004884,-0.063212,-9.000000000000067e-05,0.0003229999999999995,0.0002430000000000071
34665,-0.007278,-0.0033889999999999997,-0.064506,0.00021899999999999958,0.0002519999999999996,-0.0003110000000000057
33917,0.002493,0.008131000000000001,-0.060576,0.0,0.0002229999999999975,-0.00017500000000000154
26029,0.007474000000000001,0.0128,-0.065729,6.999999999999194e-06,0.0001299999999999999,7.000000000007001e-06
33725,0.00792,-0.011792,-0.066708,2.000000000000092e-05,0.00033500000000000023,7.000000000000062e-05
31284,-0.013295999999999999,0.005415,-0.06781999999999999,-3.8000000000001574e-05,0.00025100000000000035,-9.700000000001374e-05
35186,0.00729,0.005955,-0.05894,3.200000000000078e-05,0.0001780000000000002,-0.00010500000000000093
31398,0.008398,-0.004816,-0.068223,7.000000000000062e-05,0.0002620000000000001,6.0000000000004494e-05
31731,0.012864,0.006606,-0.07170699999999999,9.49999999999996e-05,-2.3999999999999716e-05,-0.0003060000000000146
33988,-0.002254,-0.011364,-0.068675,0.00014100000000000007,-2.999999999999531e-06,-0.00034400000000001096
34459,-0.012275000000000001,0.008557,-0.063079,-3.799999999999984e-05,8.799999999999954e-05,8.500000000000174e-05
35066,-0.003002,-0.005756,-0.077893,8.099999999999991e-05,7.900000000000008e-05,0.00010000000000000286
33150,0.0078049999999999994,0.008662000000000001,-0.062351,9.699999999999986e-05,0.0002879999999999983,2.1000000000000185e-05
31795,-0.011241,0.006051,-0.074037,0.00021299999999999965,7.299999999999928e-05,-2.2999999999995246e-05
33857,0.014359,-0.002653,-0.069101,-9.900000000000013e-05,2.9999999999999645e-06,-4.500000000000337e-05
34337,0.017085,-0.007450999999999999,-0.06941800000000001,-6.899999999999962e-05,0.00014099999999999963,1.7000000000017e-05
34646,-0.008055999999999999,-0.004526,-0.069309,-7.0000000000017965e-06,0.0001349999999999997,-0.00019900000000000473
35215,-0.004876999999999999,-0.002584,-0.063641,-0.00011900000000000105,0.0002629999999999998,-0.00013299999999999423
28547,-0.012043,0.007041,-0.06684999999999999,-7.799999999999994e-05,0.0002669999999999999,-0.00027699999999999947
10157,0.003585,0.003206,-0.073363,6.199999999999956e-05,0.00036300000000000004,-0.00019399999999999973
31059,-0.005605000000000001,-0.0017150000000000002,-0.061287999999999995,4.4000000000000636e-05,5.200000000000018e-05,0.0
35046,-0.003899,-0.007689,-0.062973,1.000000000000046e-05,5.999999999999929e-06,-0.0001270000000000021
33940,-0.002125,-0.011736,-0.06454,0.00023200000000000022,7.399999999999941e-05,-3.500000000000725e-05
34440,0.002523,-0.000652,-0.063184,9.8e-05,0.00017600000000000005,-0.00016900000000000248
34821,0.011385999999999999,-0.004337,-0.064062,0.00017400000000000228,0.00032899999999999943,-0.00010300000000000586
32623,0.012291,0.004385,-0.069592,0.0001570000000000009,0.00018899999999999993,-0.0001290000000000041
31685,-0.013326000000000001,0.003079,-0.072798,0.0001260000000000011,0.0001789999999999999,-4.299999999998749e-05
32822,0.012989,-0.008159000000000001,-0.065564,0.00013800000000000097,0.00020600000000000132,4.300000000000137e-05
32689,-0.002417,-0.006278,-0.06356,4.2999999999999636e-05,0.00019399999999999973,-0.00020099999999999285
32970,-0.012996,0.004367,-0.073553,0.00026900000000000014,7.599999999999968e-05,-0.00010600000000000886
34395,-0.013654999999999999,-0.004715,-0.075768,4.49999999999999e-05,0.00033199999999999983,-9.399999999999686e-05
28198,0.008887,0.000777,-0.064687,2.199999999999945e-05,0.00037200000000000004,-0.00017000000000000348
34161,0.0023439999999999997,0.001141,-0.071313,0.00021300000000000008,0.00031400000000000004,-9.000000000000674e-05
31977,0.007684,-0.008686999999999999,-0.074405,0.00013300000000000117,0.0001349999999999997,-0.0002319999999999961
30301,0.009663999999999999,-0.00325,-0.071659,0.00027900000000000147,0.00010699999999999989,-4.799999999999249e-05
33751,-0.013328,0.005136999999999999,-0.064817,6.700000000000109e-05,0.00023800000000000036,5.099999999999549e-05
34773,0.015003,-0.000261,-0.06632099999999999,3.199999999999904e-05,7.7e-05,-3.300000000000525e-05
34539,0.004682,0.009387000000000001,-0.063533,0.0001269999999999995,0.0003299999999999987,-6.499999999999562e-05
31410,0.014781,0.001221,-0.074797,5.899999999999829e-05,0.0002049999999999999,-0.0003009999999999957
34775,0.011288,0.012518000000000001,-0.064732,-2.999999999999531e-06,1.799999999999892e-05,0.0001350000000000101
34310,-0.011369,0.011778,-0.059448999999999995,4.200000000000037e-05,0.00021000000000000012,2.6999999999999247e-05
34615,-0.009384,-0.0015509999999999999,-0.064203,0.00017,0.00023999999999999998,-0.00022800000000000598
34510,0.018078,0.009849,-0.07077599999999999,0.00019600000000000173,0.00019699999999999926,-0.0003760000000000152
34534,-0.004213,0.011836000000000001,-0.061369,-3.800000000000071e-05,0.0003029999999999977,9.999999999996123e-06
35040,0.009791000000000001,0.008969,-0.06757200000000001,-2.599999999999998e-05,0.00010299999999999893,-0.00015799999999999148
27238,0.010192,0.002182,-0.073484,0.00011599999999999978,0.00021700000000000018,-0.00026600000000000235
34729,0.00283,-0.004438,-0.062998,0.00032799999999999973,0.00017100000000000014,-0.00033900000000000596
30751,-0.013581,0.011827,-0.074355,3.300000000000004e-05,0.00015199999999999936,4.900000000000737e-05
31796,0.009219,0.001242,-0.073507,0.0001520000000000011,0.00019799999999999983,-0.00027599999999999847
33270,-0.008467,0.0019850000000000002,-0.063695,-3.200000000000078e-05,0.00022099999999999984,-6.1000000000005494e-05
