Particle,x,y,z,Vx,Vy,Vz
47721,-0.007969,-0.004144,-0.07281,0.0,0.0,0.0
46843,-0.003095,-0.003622,-0.06865099999999999,0.0,0.0,0.0
17102,-0.000222,0.012426999999999999,-0.066884,0.0,0.0,0.0
46794,-0.010532,0.008784,-0.06623,0.0,0.0,0.0
46787,5.9999999999999995e-05,0.006273,-0.061137000000000004,0.0,0.0,0.0
47858,0.002853,0.0049050000000000005,-0.063992,0.0,0.0,0.0
46275,-0.013209,0.002711,-0.068509,0.0,0.0,0.0
46818,0.002337,-0.004829,-0.065104,0.0,0.0,0.0
47731,0.011590999999999999,0.011328,-0.066591,0.0,0.0,0.0
44003,-0.002653,-0.009354,-0.07027599999999999,0.0,0.0,0.0
47813,0.000261,-0.007619,-0.063904,0.0,0.0,0.0
46498,0.010591,0.001519,-0.064846,0.0,0.0,0.0
47110,0.007051,-0.000496,-0.06983199999999999,0.0,0.0,0.0
44717,0.0056,-6.7e-05,-0.076097,0.0,0.0,0.0
47743,0.008762,-0.002419,-0.07306399999999999,0.0,0.0,0.0
47974,-0.010629,-0.005144999999999999,-0.069646,0.0,0.0,0.0
47779,0.010819,-0.008484,-0.07499800000000001,0.0,0.0,0.0
41706,-0.001332,-0.0029159999999999998,-0.071422,0.0,0.0,0.0
47423,-0.00319,0.004791999999999999,-0.073227,0.0,0.0,0.0
47144,4.1e-05,0.009334,-0.062146,0.0,0.0,0.0
47134,-0.007845,-0.009937,-0.072957,0.0,0.0,0.0
46151,-0.01067,-0.002693,-0.07548300000000001,0.0,0.0,0.0
46510,0.007611,0.002267,-0.065189,0.0,0.0,0.0
47091,0.006288,-0.00108,-0.07291800000000001,0.0,0.0,0.0
47895,0.005631000000000001,-0.001003,-0.061574,0.0,0.0,0.0
47187,0.009980000000000001,0.011674,-0.061844,0.0,0.0,0.0
45832,0.015637,-0.006601,-0.07234600000000001,0.0,0.0,0.0
46539,-0.007482,-0.012577999999999999,-0.06704900000000001,0.0,0.0,0.0
46315,-0.001231,0.011292,-0.061017,0.0,0.0,0.0
46893,-0.014487,0.008706,-0.077092,0.0,0.0,0.0
46798,-0.001129,-0.001818,-0.07172400000000001,0.0,0.0,0.0
47308,0.01285,0.011462,-0.061095,0.0,0.0,0.0
47135,-0.010010999999999999,-0.011241,-0.075507,0.0,0.0,0.0
47401,-0.009693,-0.005149,-0.07560800000000001,0.0,0.0,0.0
46164,0.017428000000000003,-0.002341,-0.075362,0.0,0.0,0.0
44320,0.01126,0.0047859999999999995,-0.063455,0.0,0.0,0.0
47600,0.010534,-0.000131,-0.062113,0.0,0.0,0.0
47844,0.008028,0.006404,-0.064583,0.0,0.0,0.0
47932,-0.013215999999999999,0.011619999999999998,-0.064426,0.0,0.0,0.0
46957,0.010865999999999999,-0.011720000000000001,-0.060737,0.0,0.0,0.0
44004,-0.006073,-0.003699,-0.07142799999999999,0.0,0.0,0.0
43513,-0.010886,0.00212,-0.073774,0.0,0.0,0.0
47778,0.011172000000000001,-0.004477,-0.075224,0.0,0.0,0.0
47806,-0.007477,0.009739000000000001,-0.07669100000000001,0.0,0.0,0.0
47725,-0.004673,-0.010901,-0.06626800000000001,0.0,0.0,0.0
46514,0.012853999999999999,0.003655,-0.065426,0.0,0.0,0.0
44142,0.015184,0.000214,-0.067793,0.0,0.0,0.0
47437,0.012814,0.003487,-0.061503999999999996,0.0,0.0,0.0
47767,0.013356,0.005353,-0.066635,0.0,0.0,0.0
47811,-0.010641,-0.012365000000000001,-0.068388,0.0,0.0,0.0
47494,0.011764,-0.005983,-0.060686,0.0,0.0,0.0
47616,0.014789,-0.009089,-0.064334,0.0,0.0,0.0
47866,-0.005988,0.012511,-0.071286,0.0,0.0,0.0
46870,-0.010296,0.010368,-0.062319,0.0,0.0,0.0
47939,0.010637,-0.011042,-0.06492400000000001,0.0,0.0,0.0
47985,0.011835,-0.007008,-0.06623699999999999,0.0,0.0,0.0
44642,0.005860000000000001,0.004668,-0.070691,0.0,0.0,0.0
34728,-0.000129,0.01257,-0.06583,0.0,0.0,0.0
45016,0.009078,0.001325,-0.073527,0.0,0.0,0.0
46093,-0.013196,-0.004799,-0.07582299999999999,0.0,0.0,0.0
47125,0.013042999999999999,0.010671,-0.060939,0.0,0.0,0.0
47674,-0.009805999999999999,0.012166999999999999,-0.07689,0.0,0.0,0.0
46526,0.013429,0.012152,-0.072074,0.0,0.0,0.0
45548,0.017731999999999998,0.01207,-0.07170399999999999,0.0,0.0,0.0
46476,-0.000472,0.007345,-0.06807899999999999,-2.3000000000000017e-05,0.00010700000000000032,-4.800000000000637e-05
45626,-0.006422,0.003006,-0.070949,9.8e-05,0.0001010000000000004,-0.00038200000000000733
48052,0.0058449999999999995,-0.004885,-0.069934,0.0002530000000000006,0.00015899999999999942,-0.0005870000000000042
47522,0.008894,0.010303000000000001,-0.06833199999999999,7.300000000000015e-05,-1.000000000001e-06,-9.400000000001074e-05
45547,0.011134999999999999,-0.004113,-0.073042,0.0002470000000000007,-3.799999999999984e-05,-0.00032400000000000484
48133,0.005984,0.0005639999999999999,-0.060984000000000003,-6.299999999999969e-05,0.00022400000000000013,-0.0005119999999999986
48176,0.008664,-0.004033,-0.06889100000000001,0.0002009999999999998,0.0001879999999999998,-0.0005339999999999928
42234,-0.001095,0.013042,-0.067233,-7.999999999999999e-05,7.399999999999941e-05,0.00012100000000000999
47738,-0.013096,0.001699,-0.068376,0.0002409999999999999,0.00018599999999999997,3.500000000000725e-05
45517,3.7e-05,-0.012736,-0.067289,0.00022099999999999998,-5.10000000000007e-05,-0.0001310000000000061
44916,0.005986,-0.000526,-0.07063599999999999,0.00015200000000000023,0.00012599999999999997,-0.00040000000000001146
48096,0.003139,0.006332,-0.061052999999999996,0.00014100000000000007,8.5e-05,-4.000000000000531e-05
47833,-0.006431,0.002678,-0.07463800000000001,8.5e-05,0.00014400000000000003,-0.0002849999999999936
48230,-0.003975,0.004719999999999999,-0.078801,7.800000000000038e-05,0.00014200000000000063,-0.0001300000000000051
45270,-0.001874,0.00587,-0.07298,-5.000000000000013e-06,0.00027200000000000054,-7.200000000000262e-05
48094,0.011728,0.008693,-0.071351,0.00012099999999999958,0.00016000000000000042,-0.0002370000000000011
48076,0.005207,0.001859,-0.06840900000000001,0.0002310000000000003,0.0002049999999999999,-0.0004649999999999793
45510,0.001472,-0.007450999999999999,-0.07324299999999999,0.00021999999999999993,4.099999999999937e-05,-0.0001930000000000126
44899,0.00040699999999999997,0.000883,-0.071215,0.00012900000000000005,0.000205,-0.00037500000000000033
48055,0.000158,-0.007004,-0.064796,0.000232,-9.900000000000013e-05,-0.0003569999999999962
45543,-0.006339,-0.001938,-0.073684,2.9999999999999645e-05,0.0003439999999999999,-2.2000000000008124e-05
48158,-0.014387,-0.00436,-0.07460299999999999,4.700000000000017e-05,0.00028999999999999946,-0.0001250000000000001
47754,0.006126,0.000704,-0.07712300000000001,0.00017399999999999968,0.00015899999999999996,-0.00015399999999998748
48060,-0.001035,-0.006469,-0.06382800000000001,9.199999999999996e-05,5.099999999999983e-05,-0.0005729999999999902
48239,-0.004123,-0.010893,-0.057567,-5.199999999999996e-05,0.0002260000000000005,0.00016299999999999648
47793,0.016352000000000002,-0.009662,-0.066691,3.199999999999731e-05,4.300000000000137e-05,-0.00017600000000000948
46285,-0.014701,0.005898,-0.071347,9.70000000000016e-05,0.00029299999999999986,-0.00033500000000000196
48264,0.005862,0.000808,-0.062635,-7.200000000000002e-05,0.000161,-0.00045000000000000595
47949,0.000643,-0.001847,-0.05792,0.00025600000000000004,9.699999999999986e-05,-0.00028700000000000253
48138,0.004253,-0.012792,-0.07123,0.0002249999999999995,0.00020899999999999912,1.000000000001e-06
48102,-0.013272,0.011663999999999999,-0.065899,4.900000000000043e-05,3.0000000000002247e-05,-6.0000000000060005e-06
47273,0.017144,0.005405999999999999,-0.07238599999999999,0.00016700000000000048,0.00010900000000000059,-9.400000000001074e-05
47168,0.007718,-0.012063,-0.065258,0.00025600000000000015,-5.899999999999829e-05,0.00016299999999999648
35113,0.01396,0.006886,-0.071078,0.00014199999999999977,0.00014000000000000037,-0.00027900000000000147
41649,0.003879,-0.008395,-0.071431,0.0001889999999999995,7.899999999999921e-05,-0.00032600000000000684
47143,-0.007114,-0.009764,-0.067729,8.99999999999998e-05,8.999999999998592e-06,-0.0004030000000000006
47037,0.0006820000000000001,-0.002917,-0.069009,0.0003269999999999998,0.00022199999999999998,-0.00016399999999999748
46290,-0.005861,0.006175,-0.07753600000000001,6.199999999999956e-05,0.00016100000000000055,-9.499999999999786e-05
48376,0.013003,-0.002871,-0.060437,0.0003049999999999997,-3.799999999999984e-05,3.899999999999737e-05
48198,-0.012735,-0.009166,-0.076947,3.5999999999999574e-05,0.00022400000000000024,0.00028100000000000347
48335,-0.0013189999999999999,0.008256,-0.065995,-3.000000000000008e-05,6.800000000000035e-05,0.0001820000000000016
46866,-0.010397,-0.001682,-0.064687,0.0002900000000000003,0.00022099999999999984,4.599999999999049e-05
46501,-0.005724,-0.008981,-0.07045799999999999,4.700000000000017e-05,0.00013199999999999844,-0.0005170000000000036
47492,0.010339000000000001,0.012577,-0.06913,0.00010499999999999919,-0.00017,0.00010199999999999099
47751,-0.004456000000000001,-0.009378000000000001,-0.06344899999999999,8.300000000000061e-05,3.0000000000000512e-05,-0.00010700000000000986
46832,0.004535999999999999,0.000449,-0.063293,6.300000000000056e-05,0.00015900000000000002,-0.0004709999999999992
47160,-0.0043419999999999995,0.002404,-0.077736,-0.00010000000000000026,0.0003120000000000002,-0.00031699999999999784
47849,0.012407999999999999,-0.006293,-0.075938,0.0001020000000000014,8.99999999999998e-05,-0.00044499999999998707
48111,-0.002024,-0.010019,-0.067651,0.00015000000000000018,4.5999999999999167e-05,0.0
48145,-0.001139,0.009195,-0.061274999999999996,0.00020600000000000002,4.1000000000001105e-05,-0.00019100000000000367
48161,0.0025670000000000003,0.009366,-0.063567,1.9999999999998318e-06,0.00021400000000000065,0.0002550000000000052
48207,-0.006671,0.006781,-0.061425,0.000196,0.00024000000000000063,3.100000000000325e-05
46811,0.014751,-0.008099,-0.073213,-2.599999999999998e-05,2.999999999999531e-06,-0.00044000000000000983
48244,-0.010087,-0.01244,-0.072446,0.00015400000000000136,0.00010199999999999966,-7.00000000000145e-05
48286,0.007813,-0.012809,-0.074944,8.5e-05,-6.000000000000796e-06,-0.00021300000000000485
48287,0.016457999999999997,0.008058,-0.069152,0.0001490000000000033,0.0002630000000000011,-0.00018899999999999473
48294,0.014381,-0.009755000000000002,-0.06300800000000001,6.199999999999956e-05,-4.3999999999997166e-05,-0.00010499999999999399
47360,0.006503,-0.001428,-0.075298,0.0002649999999999996,0.00010099999999999996,-0.0002879999999999966
48312,0.0054800000000000005,0.0021019999999999997,-0.071445,0.00016299999999999908,0.00013800000000000054,-0.00025599999999999234
40720,-0.000206,-0.0062900000000000005,-0.073292,0.00014099999999999998,3.4000000000000176e-05,-0.00015899999999999248
47430,-0.005995,-0.011964,-0.067751,9.49999999999996e-05,9.10000000000008e-05,0.00015500000000000236
47505,-0.015077,-0.01124,-0.07437300000000001,6.399999999999982e-05,0.0003130000000000008,9.499999999999786e-05
47555,0.009759,-0.009323,-0.063361,0.0002489999999999992,8.000000000000021e-05,0.00014500000000000624
