Particle,x,y,z,Vx,Vy,Vz
10750,-0.01031,-0.008669,-0.068698,0.0,0.0,0.0
13090,-0.004456000000000001,0.000161,-0.072787,0.0,0.0,0.0
13767,0.009061999999999999,0.006157,-0.07165099999999999,0.0,0.0,0.0
15132,-0.0071600000000000006,-0.0029300000000000003,-0.073535,0.0,0.0,0.0
14823,-0.006193,0.001512,-0.072893,0.0,0.0,0.0
14110,0.006699,-0.008875,-0.063741,0.0,0.0,0.0
8928,0.0041719999999999995,0.001719,-0.074567,0.0,0.0,0.0
15279,-0.013912,-0.011932,-0.07176,0.0,0.0,0.0
15113,0.000153,0.010631,-0.063855,0.0,0.0,0.0
14459,-0.00735,-0.001444,-0.07275100000000001,0.0,0.0,0.0
14458,0.000384,0.0073739999999999995,-0.061581000000000004,0.0,0.0,0.0
13094,0.007718,-0.007243,-0.06559999999999999,0.0,0.0,0.0
12127,-0.01024,0.010018,-0.062272,0.0,0.0,0.0
12578,-0.014047,-0.0042450000000000005,-0.069907,0.0,0.0,0.0
15139,-0.012076,0.000704,-0.07301099999999999,0.0,0.0,0.0
12100,-0.010396,-0.002712,-0.073777,0.0,0.0,0.0
10391,0.008887,-0.00237,-0.069069,0.0,0.0,0.0
11446,-0.011429,-0.002105,-0.073027,0.0,0.0,0.0
14469,0.000805,0.007199,-0.07682800000000001,0.0,0.0,0.0
9751,0.005059,0.000656,-0.073066,0.0,0.0,0.0
12895,0.007685,-0.011267,-0.069975,0.0,0.0,0.0
15034,-0.014788,-0.008511,-0.06922700000000001,0.0,0.0,0.0
14813,-0.012022999999999999,0.005923,-0.068179,0.0,0.0,0.0
13468,-0.00013900000000000002,0.012772,-0.06984699999999999,0.0,0.0,0.0
15037,0.006559000000000001,-0.007301,-0.06760200000000001,0.0,0.0,0.0
15172,-0.00019800000000000002,0.0045709999999999995,-0.073176,0.0,0.0,0.0
13899,-0.011203,-0.004248999999999999,-0.062656,0.0,0.0,0.0
15176,0.017837,0.0036,-0.07275,0.0,0.0,0.0
11086,-0.005095,0.005501000000000001,-0.060786,0.0,0.0,0.0
9855,0.000176,0.000728,-0.076461,0.0,0.0,0.0
13812,-0.006368,0.009635,-0.069111,0.0,0.0,0.0
13840,-0.013512,0.008008,-0.069179,0.0,0.0,0.0
14547,-0.0039700000000000004,0.011503,-0.062706,0.0,0.0,0.0
10370,0.001361,-0.007944,-0.073774,0.0,0.0,0.0
13828,-0.008291,-0.006111,-0.063888,0.0,0.0,0.0
14535,-0.010871,0.012306,-0.062058,0.0,0.0,0.0
11445,0.010716,0.005495,-0.063499,0.0,0.0,0.0
14822,-0.002405,0.002472,-0.061020000000000005,0.0,0.0,0.0
15215,-0.0073230000000000005,-0.00754,-0.064306,0.0,0.0,0.0
15396,-0.004907,-0.002877,-0.07552500000000001,0.0,0.0,0.0
14609,-0.0104,0.002449,-0.061898,0.0,0.0,0.0
14748,0.008571,0.013284,-0.06547599999999999,0.0,0.0,0.0
13700,-0.009718,-0.005115000000000001,-0.070995,0.0,0.0,0.0
9735,-0.00541,0.008051,-0.072536,0.0,0.0,0.0
14837,0.0038959999999999997,0.010467,-0.06296500000000001,0.0,0.0,0.0
15281,-0.004768,0.005619,-0.059384,0.0,0.0,0.0
15296,-0.002219,0.002492,-0.067782,0.0,0.0,0.0
13914,0.011999000000000001,0.009852999999999999,-0.06092,0.0,0.0,0.0
15384,0.015902,0.00445,-0.062662,0.0,0.0,0.0
14776,0.011944000000000001,-0.004415,-0.07011400000000001,0.0,0.0,0.0
12764,-0.005058,0.0065439999999999995,-0.065951,0.0,0.0,0.0
13524,0.001987,-0.008853999999999999,-0.06079,0.0,0.0,0.0
11320,-0.014978,-0.006271,-0.07447,0.0,0.0,0.0
10101,-0.000753,0.005852,-0.07500799999999999,0.0,0.0,0.0
15160,-0.005064,0.002403,-0.07226,0.0,0.0,0.0
15169,0.015231,-0.002323,-0.063866,0.0,0.0,0.0
15188,-0.002271,-0.003019,-0.060718,0.0,0.0,0.0
9718,-0.006987,0.009345000000000001,-0.065595,0.0,0.0,0.0
15276,0.001032,0.0071589999999999996,-0.068833,0.0,0.0,0.0
15310,0.007203,-0.007549,-0.06307399999999999,0.0,0.0,0.0
15329,-0.002565,0.013495,-0.066087,0.0,0.0,0.0
14627,-0.00833,-0.010782,-0.064623,0.0,0.0,0.0
7759,-0.015697,0.007156,-0.069294,0.0,0.0,0.0
14836,0.008169000000000001,-0.006690000000000001,-0.063244,0.0,0.0,0.0
13142,0.007652999999999999,-0.008322,-0.074385,0.0,0.0,0.0
14768,-0.002697,-0.006453,-0.07351300000000001,-5.899999999999959e-05,2.300000000000045e-05,5.500000000001337e-05
14762,0.0017620000000000001,0.0017569999999999999,-0.06456300000000001,8.899999999999989e-05,0.00034100000000000016,-0.00014899999999999636
9776,0.0037280000000000004,0.002963,-0.069007,-1.5000000000000256e-05,0.0001730000000000004,-0.00022099999999999898
13419,-0.011071,0.006343,-0.063682,3.299999999999831e-05,0.0002570000000000003,-0.00026600000000000235
14461,-0.003641,-0.004763,-0.070444,5.3000000000000096e-05,0.00012399999999999998,9.600000000001274e-05
10035,0.008534,0.011244,-0.071012,-0.00020600000000000132,-5.7000000000001494e-05,-9.199999999999486e-05
12052,-0.006327,-0.001973,-0.070664,9.30000000000002e-05,5.499999999999993e-05,0.0001250000000000001
14801,-0.007428,-0.0043490000000000004,-0.067718,3.199999999999991e-05,0.0001810000000000006,0.0003449999999999981
14769,-0.0022010000000000003,-0.002022,-0.062025,0.00022600000000000007,0.000415,-0.00028600000000000153
14533,-0.011250999999999999,0.010894000000000001,-0.064452,7.099999999999988e-05,2.199999999999945e-05,-3.300000000000525e-05
13775,-0.01129,-0.0031810000000000002,-0.064671,0.0001799999999999996,0.00019600000000000043,5.500000000001337e-05
