Particle,x,y,z,Vx,Vy,Vz
36941,0.005197,0.00624,-0.07449599999999999,0.0,0.0,0.0
38353,-0.007553,0.010281,-0.063642,0.0,0.0,0.0
38278,0.001392,0.009252,-0.066613,0.0,0.0,0.0
35042,-0.003489,-0.005301999999999999,-0.0731,0.0,0.0,0.0
38441,0.004537,0.004178,-0.066116,0.0,0.0,0.0
25717,0.009571,0.012209,-0.065878,0.0,0.0,0.0
38041,0.00046100000000000004,-0.005539,-0.073468,0.0,0.0,0.0
38472,0.008981999999999999,0.011153,-0.06546500000000001,0.0,0.0,0.0
37216,-0.013446999999999999,-0.0059039999999999995,-0.073173,0.0,0.0,0.0
38126,0.011672,0.00836,-0.06199,0.0,0.0,0.0
37838,-0.015436,-0.009762999999999999,-0.071081,0.0,0.0,0.0
35625,0.010796,0.0038900000000000002,-0.062711,0.0,0.0,0.0
37983,0.0016359999999999999,-0.001996,-0.075497,0.0,0.0,0.0
36477,0.007410999999999999,-0.0052190000000000005,-0.074056,0.0,0.0,0.0
38010,0.012201,0.002072,-0.063845,0.0,0.0,0.0
38518,0.011148,-0.008464000000000001,-0.073852,0.0,0.0,0.0
38012,0.010452,-0.011953,-0.07054200000000001,0.0,0.0,0.0
24541,-0.011814999999999999,0.006697,-0.069529,0.0,0.0,0.0
37978,-0.007391,-0.003385,-0.067238,0.0,0.0,0.0
38358,-0.002488,-0.0045309999999999994,-0.06094,0.0,0.0,0.0
36593,-0.007407,0.002464,-0.061682,0.0,0.0,0.0
29472,-0.00082,0.012,-0.07031100000000001,0.0,0.0,0.0
38051,-0.0020499999999999997,0.004719,-0.064243,0.0,0.0,0.0
37096,0.009287,0.003956,-0.065611,0.0,0.0,0.0
37684,-0.0021869999999999997,0.005498,-0.062092,0.0,0.0,0.0
28869,0.004727,0.011833999999999999,-0.076018,0.0,0.0,0.0
38355,-0.009734,0.003592,-0.05983,0.0,0.0,0.0
37968,-0.006549999999999999,0.008378,-0.062674,0.0,0.0,0.0
37432,-0.002054,0.012381,-0.061958,0.0,0.0,0.0
37024,0.000103,0.007357,-0.074276,0.0,0.0,0.0
26631,0.015442,0.005198,-0.071343,0.0,0.0,0.0
37550,-0.008968,-0.007061,-0.066095,0.0,0.0,0.0
37453,0.003081,-0.009307000000000001,-0.064001,0.0,0.0,0.0
36810,0.0042510000000000004,0.010258,-0.07652500000000001,0.0,0.0,0.0
38295,-0.004804999999999999,0.007219000000000001,-0.060524999999999995,0.0,0.0,0.0
38039,-0.011571,-0.006407,-0.064254,0.0,0.0,0.0
37905,0.011151,-0.005974,-0.07406499999999999,0.0,0.0,0.0
38056,0.003574,-0.005567,-0.060891,0.0,0.0,0.0
37717,0.010647,0.007932,-0.07571699999999999,0.0,0.0,0.0
35772,0.017761,0.011478,-0.070434,0.0,0.0,0.0
38013,0.00414,0.007781,-0.075899,0.0,0.0,0.0
38122,-0.013977,0.01307,-0.06781999999999999,0.0,0.0,0.0
38407,0.006487,-0.003803,-0.055068,0.0,0.0,0.0
33597,0.004452,-7.4e-05,-0.072222,0.0,0.0,0.0
37384,3.9e-05,-0.002936,-0.072767,0.0,0.0,0.0
37693,-0.006533000000000001,-0.005882,-0.067533,0.0,0.0,0.0
36479,-0.011136,0.012387,-0.072536,0.0,0.0,0.0
38296,0.011302,0.009548,-0.064582,0.0,0.0,0.0
38111,0.013061999999999999,0.012715,-0.065346,0.0,0.0,0.0
38461,0.015051,0.002179,-0.084298,0.0,0.0,0.0
35912,0.0069370000000000005,0.0005769999999999999,-0.067978,0.0,0.0,0.0
37716,0.0050999999999999995,0.0073609999999999995,-0.06283,0.0,0.0,0.0
36499,0.015981,-0.005042,-0.06990099999999999,0.0,0.0,0.0
37834,0.006228,-0.013084,-0.06432500000000001,0.0,0.0,0.0
37966,-0.0027530000000000002,0.013541000000000001,-0.06623699999999999,0.0,0.0,0.0
38282,-0.0049429999999999995,-0.010726000000000001,-0.07201,0.0,0.0,0.0
29851,-0.005113,0.007006999999999999,-0.07388,0.0,0.0,0.0
36666,0.002764,0.007627,-0.06510099999999999,0.0,0.0,0.0
33566,0.013983,0.002747,-0.06736400000000001,0.0,0.0,0.0
17123,0.015803,0.008392,-0.072978,0.0,0.0,0.0
38305,-0.011861,0.01103,-0.061252,0.0,0.0,0.0
37594,0.007929,-0.012712,-0.06949,0.0,0.0,0.0
37714,0.006907,-0.004806,-0.076831,0.0,0.0,0.0
38134,0.012693,0.005716000000000001,-0.063195,0.0,0.0,0.0
37941,0.016582999999999997,0.009439,-0.071518,0.0,0.0,0.0
38249,0.017190999999999998,0.012946,-0.067622,0.0,0.0,0.0
38330,6.7e-05,-0.010233,-0.074274,0.0,0.0,0.0
38382,0.013000999999999999,-0.011248,-0.069753,0.0,0.0,0.0
35893,-0.004645,0.013509,-0.066793,0.0,0.0,0.0
36598,-0.000416,0.005628,-0.073272,0.0,0.0,0.0
34561,-0.0020440000000000002,0.011524,-0.069831,0.0,0.0,0.0
38430,-0.008482,0.004556,-0.068872,0.0,0.0,0.0
35383,0.01848,0.012593,-0.07479300000000001,0.0,0.0,0.0
37408,0.004851,0.004963,-0.07188800000000001,0.0,0.0,0.0
37416,-0.003307,-0.011624,-0.077293,0.0,0.0,0.0
37003,-0.006319,0.00139,-0.061443,0.0,0.0,0.0
35706,0.0019690000000000003,0.000929,-0.068853,0.0002379999999999995,0.000254,-0.00021300000000000485
36182,-0.009566000000000002,0.006503,-0.074632,6.700000000000109e-05,7.500000000000041e-05,-0.00013799999999998536
38284,-0.002813,-0.000875,-0.063693,-6.100000000000029e-05,5.3000000000000096e-05,-0.00022800000000000598
36891,0.005292,-0.008115,-0.070828,0.0001349999999999997,0.00021100000000000112,-0.0003630000000000022
35909,-0.004717,-0.004489,-0.075852,0.00014500000000000016,0.00013599999999999984,-4.999999999991123e-06
36612,-0.001839,0.003098,-0.06904099999999999,0.00016299999999999995,0.00021300000000000008,-0.00011300000000000199
38080,0.014489,0.006646,-0.067684,0.0002760000000000002,0.0001399999999999995,-0.00018300000000001648
38581,-0.006706999999999999,-0.009035,-0.06715900000000001,-4.30000000000005e-05,7.699999999999894e-05,-8.199999999998486e-05
34453,-0.014891999999999999,0.0052699999999999995,-0.071032,2.7999999999998512e-05,0.0004000000000000002,7.500000000000562e-05
36827,-0.010465,0.010683999999999999,-0.069178,9.500000000000133e-05,0.0003530000000000026,7.800000000000862e-05
38062,-0.001177,0.0052,-0.064524,-4.9999999999999914e-05,0.00010900000000000059,4.200000000000037e-05
34138,-0.0015300000000000001,0.012131,-0.072274,4.699999999999995e-05,0.00019900000000000126,-5.7999999999988616e-05
29920,0.009132,0.0015860000000000002,-0.06700199999999999,4.49999999999999e-05,0.00041399999999999987,-4.600000000000437e-05
25719,-0.000456,0.002306,-0.07199599999999999,0.00023900000000000004,0.00024200000000000003,-0.00015800000000000536
38314,-0.003798,-0.006795,-0.07305299999999999,3.0000000000000512e-05,0.00016899999999999988,-4.400000000000237e-05
38068,0.005958,0.000414,-0.06133400000000001,0.00017500000000000068,0.00014800000000000013,-8.09999999999908e-05
37861,-0.00951,0.0011339999999999998,-0.077738,-8.99999999999998e-05,6.800000000000013e-05,-7.999999999994123e-06
37118,0.002878,0.009148,-0.06854600000000001,2.699999999999968e-05,0.0001250000000000001,0.0001360000000000111
38840,-0.008102,-0.001789,-0.06189,9.10000000000008e-05,0.00011800000000000005,-0.00033500000000000196
37620,0.002218,-0.004961999999999999,-0.06854600000000001,0.000183,3.5999999999999574e-05,-0.0002279999999999921
38325,0.011276,-0.003397,-0.063069,0.00021799999999999944,0.00030599999999999985,-0.00022199999999999998
34437,-0.000429,-0.007813,-0.071336,8.9e-05,0.00018000000000000047,-2.5000000000011124e-05
36904,-0.009448,-0.008501,-0.06541,0.0001250000000000001,5.699999999999976e-05,-8.800000000000474e-05
37464,-0.000941,0.003502,-0.061161,0.00014899999999999994,0.000255,1.4000000000000123e-05
27600,-0.005674,0.006804999999999999,-0.072272,-2.199999999999945e-05,0.00017500000000000068,-5.0000000000050004e-06
37737,-0.004475,0.006515,-0.065031,4.80000000000003e-05,0.00031999999999999997,6.80000000000125e-05
37989,0.004968,-0.002599,-0.074754,7.399999999999941e-05,0.00019800000000000026,-0.00020899999999998697
38418,-0.00264,-0.007503999999999999,-0.060512,0.000356,0.00023399999999999983,-0.000334999999999995
33241,-0.012244999999999999,0.002493,-0.06905599999999999,-1.000000000001e-06,0.00031499999999999974,-6.70000000000115e-05
38367,0.00094,-0.006557,-0.076862,1.9999999999999944e-05,7.000000000000062e-05,8.400000000000074e-05
38388,-0.007965,-0.009622,-0.06343800000000001,0.00019200000000000033,-2.599999999999998e-05,-0.00030999999999999084
38657,0.006718,-0.007026,-0.073259,0.00020000000000000052,6.700000000000022e-05,-8.299999999999974e-05
37148,0.005104,-0.007686,-0.07566200000000001,0.00016400000000000008,0.00011500000000000052,-0.00015799999999999148
38604,0.012701,-0.004365,-0.06478400000000001,5.199999999999996e-05,0.0002700000000000003,5.100000000000937e-05
38802,-0.014915,-0.011598,-0.075142,1.9999999999999185e-05,0.00029900000000000065,-0.0001719999999999916
37111,0.001118,0.011596,-0.062921,3.6999999999999924e-05,0.00018699999999999967,-9.099999999999386e-05
36126,-0.0027879999999999997,0.002407,-0.067081,2.099999999999975e-05,0.0001550000000000002,-0.0001840000000000036
38609,-0.00633,-0.009488,-0.058893999999999995,0.00021499999999999905,4.0000000000000105e-05,-9.70000000000068e-05
38459,-0.001903,0.007631000000000001,-0.060208,6.799999999999992e-05,0.00013899999999999937,4.799999999999943e-05
38751,0.01609,-0.008058,-0.067134,0.00017800000000000107,6.399999999999982e-05,-6.399999999999462e-05
38292,-0.005857,0.007415,-0.06323,1.999999999999398e-06,0.0003290000000000003,-0.0001270000000000021
35857,0.006463,0.00937,-0.065248,-1.4999999999999389e-05,0.0001510000000000001,-4.099999999999937e-05
