Particle,x,y,z,Vx,Vy,Vz
2166,-0.01057,0.006887,-0.07101,0.0,0.0,0.0
116,0.005898,-0.007852,-0.067497,0.0,0.0,0.0
2186,-0.011679,0.000743,-0.071696,0.0,0.0,0.0
149,-0.005477999999999999,0.010786,-0.062512,0.0,0.0,0.0
1405,-0.005333,-0.005873000000000001,-0.068418,0.0,0.0,0.0
1000,-0.010751,-0.007730000000000001,-0.070934,0.0,0.0,0.0
2233,6.3e-05,-0.010933,-0.065881,0.0,0.0,0.0
1930,-0.010743,-0.002419,-0.063233,0.0,0.0,0.0
79,0.002499,0.001914,-0.06744199999999999,0.0,0.0,0.0
2187,-0.005545,-0.012007,-0.074809,0.0,0.0,0.0
3856,0.0011279999999999999,-0.005554,-0.06295300000000001,0.0,0.0,0.0
47,-0.009653,0.007634999999999999,-0.072377,0.0,0.0,0.0
2460,-0.004405999999999999,-0.00855,-0.071806,0.0,0.0,0.0
249,0.011756,-0.0064800000000000005,-0.068888,0.0,0.0,0.0
1210,0.000584,-0.004594,-0.06895699999999999,0.0,0.0,0.0
2472,-0.01103,0.010194000000000002,-0.07078799999999999,0.0,0.0,0.0
3834,-0.000653,-0.005607999999999999,-0.06017,0.0,0.0,0.0
1970,-0.012061,-0.010343999999999999,-0.071301,0.0,0.0,0.0
3164,0.016949000000000002,0.007843,-0.06840500000000001,0.0,0.0,0.0
661,0.010901,-0.004638,-0.068993,0.0,0.0,0.0
3451,0.010424,-0.007152,-0.06947199999999999,0.0,0.0,0.0
3006,0.010099,0.008542999999999999,-0.069017,0.0,0.0,0.0
3133,-0.007479,-0.003007,-0.072195,0.0,0.0,0.0
3489,0.005913,0.005908,-0.061208,0.0,0.0,0.0
3791,0.004413,-0.007529,-0.063365,0.0,0.0,0.0
3820,-0.010271,0.010974,-0.07202800000000001,0.0,0.0,0.0
3201,0.005983,0.011795,-0.066089,0.0,0.0,0.0
3846,-0.007402,0.009743,-0.071884,0.0,0.0,0.0
20,0.005412,0.001174,-0.06709699999999999,0.0,0.0,0.0
188,-0.009521,0.004822,-0.066428,0.0,0.0,0.0
3453,-0.008731,-0.011882,-0.06980700000000001,0.0,0.0,0.0
3308,0.004221,-0.012180999999999999,-0.071039,0.0,0.0,0.0
2910,-0.008436,-0.009093,-0.067403,0.0,0.0,0.0
3287,-0.007353,-0.000878,-0.065712,0.0,0.0,0.0
3450,-0.009563,-0.0075060000000000005,-0.073098,0.0,0.0,0.0
3271,-0.008045,-0.00608,-0.05744,0.0,0.0,0.0
3231,-0.001748,-0.012317,-0.071574,0.0,0.0,0.0
3563,-0.008364,0.0009260000000000001,-0.066854,0.0,0.0,0.0
2819,0.001653,-0.002655,-0.075597,0.0,0.0,0.0
3188,-0.001722,-0.01173,-0.077735,0.0,0.0,0.0
819,-0.016267,-0.002884,-0.072697,0.0,0.0,0.0
3581,-0.002598,-0.006346,-0.061311,0.0,0.0,0.0
3973,-0.004543,-0.0030659999999999997,-0.07515000000000001,0.0,0.0,0.0
1001,-0.0044610000000000006,0.013286,-0.06651900000000001,0.0,0.0,0.0
1375,-0.005821,0.006093,-0.065387,0.0,0.0,0.0
3835,0.003251,-0.009422,-0.073003,0.0,0.0,0.0
3140,0.000189,0.012863,-0.066823,0.0,0.0,0.0
3776,-0.004064,0.002511,-0.061314999999999995,0.0,0.0,0.0
3798,-0.006415,0.005621,-0.075026,0.0,0.0,0.0
3954,0.018314,-0.008164999999999999,-0.068682,0.0,0.0,0.0
503,-0.005371000000000001,0.005551,-0.07226,0.0,0.0,0.0
3951,-0.006549999999999999,-0.012372,-0.066111,0.0,0.0,0.0
265,0.014631,-0.00039200000000000004,-0.069619,0.0,0.0,0.0
1224,0.001917,-0.008161,-0.072144,0.0,0.0,0.0
28,-0.005817999999999999,0.013185,-0.067401,0.0,0.0,0.0
3176,0.012262,-0.0048319999999999995,-0.071743,0.0,0.0,0.0
2383,-0.012941000000000001,0.008549,-0.06320100000000001,0.0,0.0,0.0
3806,0.005481,0.007659,-0.059935,0.0,0.0,0.0
3812,5.8e-05,0.010281,-0.069845,0.0,0.0,0.0
3852,0.001567,-0.012544000000000001,-0.062100999999999996,0.0,0.0,0.0
2549,-0.012171,0.005638,-0.06374300000000001,0.0,0.0,0.0
3860,0.011643,-0.006187000000000001,-0.062443,0.0,0.0,0.0
3883,-0.000642,-0.012469,-0.07067,0.0,0.0,0.0
2880,-0.006308,0.003947,-0.072765,0.0,0.0,0.0
3601,0.013715999999999999,0.006928,-0.062832,0.0,0.0,0.0
3608,-0.012131,0.003818,-0.06585099999999999,0.0,0.0,0.0
3981,0.012407,-0.000823,-0.056548,0.0,0.0,0.0
3024,-0.001871,0.005426,-0.061422,0.0,0.0,0.0
1968,-0.012478,-0.0022400000000000002,-0.067741,-0.00010899999999999972,0.00011200000000000012,0.00011700000000000599
2450,0.000607,0.006332,-0.07423600000000001,7.6e-05,9.999999999999593e-06,-4.499999999998949e-05
215,-0.001521,0.011732,-0.075959,2.6999999999999897e-05,7.700000000000068e-05,-0.0001769999999999966
299,0.014587999999999999,0.004195,-0.068201,-6.299999999999882e-05,3.4000000000000176e-05,0.0
4225,0.015426,-0.005301,-0.074124,-5.199999999999996e-05,0.00011800000000000005,3.600000000000825e-05
3121,-0.008422,-0.011183,-0.06926900000000001,5.4999999999999494e-05,8.400000000000074e-05,4.700000000001925e-05
2791,-0.011247,0.003702,-0.062277,4.000000000000531e-06,0.00021699999999999975,3.899999999999737e-05
3849,0.0026869999999999997,0.010339000000000001,-0.06548000000000001,-4.49999999999999e-05,0.0002149999999999999,1.0000000000010001e-05
255,-0.007134000000000001,-0.008426,-0.069538,-2.0999999999999318e-05,4.2999999999999636e-05,0.00022900000000000698
3779,0.014939000000000001,0.008214,-0.06762699999999999,-0.00011100000000000172,3.999999999999837e-05,-7.500000000000562e-05
3912,0.016807,0.0044340000000000004,-0.0729,-0.0002449999999999987,0.0002919999999999997,0.00020100000000000673
4068,0.005097000000000001,-0.011257,-0.06823,4.69999999999993e-05,-2.199999999999945e-05,-4.500000000000337e-05
3817,-0.015394999999999999,0.009013,-0.071875,0.0002399999999999989,-3.799999999999984e-05,0.00011999999999999511
2822,0.008136,0.00225,-0.07076,-9.199999999999833e-05,6.700000000000022e-05,-0.00011900000000000799
4094,0.0036379999999999997,-0.004286,-0.063229,0.00011600000000000022,0.00023199999999999957,2.6999999999999247e-05
1953,-0.008126,-0.002291,-0.07368300000000001,-0.00010600000000000019,3.700000000000014e-05,-8.799999999999086e-05
3937,-0.00195,-0.000536,-0.07513299999999999,3.99999999999988e-06,6.000000000000037e-06,-0.00022600000000000398
4104,0.007555,0.0077729999999999995,-0.061449,-0.0001590000000000003,0.0001940000000000006,-9.10000000000008e-05
1926,0.009869,-0.011041,-0.066199,3.200000000000078e-05,0.00016700000000000048,1.5999999999988246e-05
3955,0.012088,-0.0007840000000000001,-0.07430500000000001,2.8000000000000247e-05,7.500000000000009e-05,4.900000000000737e-05
4158,-0.0044740000000000005,-0.008285,-0.07373,-8.099999999999948e-05,5.9000000000000025e-05,5.3999999999998494e-05
951,0.012026,-0.004139,-0.063551,0.00015399999999999962,0.0001559999999999999,1.7999999999990246e-05
2457,0.007372,-0.010311,-0.07435800000000001,-5.3000000000000096e-05,8.000000000000021e-05,-7.099999999998774e-05
3728,0.003787,0.011919,-0.067136,0.00016700000000000005,8.799999999999954e-05,-9.199999999999486e-05
4278,0.009368,0.000719,-0.057898000000000005,0.0001399999999999995,0.00034199999999999986,-0.00011299999999999505
2155,-0.005759,0.004122,-0.07077599999999999,5.5999999999999626e-05,8.600000000000014e-05,-0.000126000000000015
4148,-0.0065179999999999995,-0.010112999999999999,-0.06497,0.00016199999999999982,0.0004399999999999994,0.00020300000000000873
4157,-0.0064589999999999995,-0.001066,-0.059325,-7.400000000000115e-05,0.0002310000000000002,-0.00013499999999999623
